ッキャー|kkyā
ッフェ|ffe
ッウォ|~tsuu~o
ッヴォ|~tsuvu~o
ッツォ|ttsu~o
ッフォ|ffo
ッカー|kkā
ッサー|ssā
ッター|ttā
ッナー|nnā
ンナー|n'nā
ッハー|hhā
ッマー|mmā
ッヤー|yyā
ッラー|rrā
ッワー|wwā
ッガー|ggā
ッザー|zzā
ッダー|ddā
ッバー|bbā
ッパー|ppā
ッヷー|vvā
ッキー|kkī
ッシー|sshī
ッチー|cchī
ッニー|nnī
ンニー|n'nī
ッヒー|hhī
ッミー|mmī
ッリー|rrī
ッヰー|wwī
ッギー|ggī
ッジー|jjī
ッヂー|ddjī
ッビー|bbī
ッピー|ppī
ッヸー|vvī
ックー|kkū
ッスー|ssū
ッツー|ttsū
ッヌー|nnū
ンヌー|n'nū
ッフー|ffū
ッムー|mmū
ッユー|yyū
ッルー|rrū
ッグー|ggū
ッズー|zzū
ッヅー|ddzū
ッブー|bbū
ップー|ppū
ッヴー|vvū
ッケー|kkē
ッセー|ssē
ッテー|ttē
ッネー|nnē
ンネー|n'nē
ッヘー|hhē
ッメー|mmē
ッレー|rrē
ッヱー|wwē
ッゲー|ggē
ッゼー|zzē
ッデー|ddē
ッベー|bbē
ッペー|ppē
ッヹー|vvē
ッコー|kkō
ッソー|ssō
ットー|ttō
ッノー|nnō
ンノー|n'nō
ッホー|hhō
ッモー|mmō
ッヨー|yyō
ッロー|rrō
ッヲー|wwō
ッンー|nn̄
ンンー|n'n̄
ッゴー|ggō
ッゾー|zzō
ッドー|ddō
ッボー|bbō
ッポー|ppō
ッヺー|vvō
キャ|kya
シャ|sha
チャ|cha
ニャ|nya
ヒャ|hya
ミャ|mya
リャ|rya
ギャ|gya
ジャ|ja
ヂャ|dja
ビャ|bya
ピャ|pya
キュ|kyu
シュ|shu
チュ|chu
ニュ|nyu
ヒュ|hyu
ミュ|myu
リュ|ryu
ギュ|gyu
ジュ|ju
ヂュ|dju
ビュ|byu
ピュ|pyu
キョ|kyo
ショ|sho
チョ|cho
ニョ|nyo
ヒョ|hyo
ミョ|myo
リョ|ryo
ギョ|gyo
ジョ|jo
ヂョ|djo
ビョ|byo
ピョ|pyo
ヴァ|vu~a
ツァ|tsu~a
ファ|fa
ウィ|u~i
ヴィ|vu~i
ティ|ti
ディ|di
ツィ|tsu~i
フィ|fi
トゥ|to~u
テュ|te~yu
ドゥ|do~u
デュ|de~yu
フュ|fu~yu
イェ|i~e
ウェ|u~e
ヴェ|vu~e
シェ|she
ジェ|je
チェ|che
ツェ|tsu~e
フェ|fe
ウォ|u~o
ヴォ|vu~o
ツォ|tsu~o
フォ|fo
アー|ā
カー|kā
サー|sā
ター|tā
ナー|nā
ハー|hā
マー|mā
ヤー|yā
ラー|rā
ワー|wā
ガー|gā
ザー|zā
ダー|dā
バー|bā
パー|pā
ヷー|vā
イー|ī
キー|kī
シー|shī
チー|chī
ニー|nī
ヒー|hī
ミー|mī
リー|rī
ヰー|wī
ギー|gī
ジー|jī
ヂー|djī
ビー|bī
ピー|pī
ヸー|vī
ウー|ū
クー|kū
スー|sū
ツー|tsū
ヌー|nū
フー|fū
ムー|mū
ユー|yū
ルー|rū
グー|gū
ズー|zū
ヅー|dzū
ブー|bū
プー|pū
ヴー|vū
エー|ē
ケー|kē
セー|sē
テー|tē
ネー|nē
ヘー|hē
メー|mē
レー|rē
ヱー|wē
ゲー|gē
ゼー|zē
デー|dē
ベー|bē
ペー|pē
ヹー|vē
オー|ō
コー|kō
ソー|sō
トー|tō
ノー|nō
ホー|hō
モー|mō
ヨー|yō
ロー|rō
ヲー|wō
ンー|n̄
ゴー|gō
ゾー|zō
ドー|dō
ボー|bō
ポー|pō
ヺー|vō
ッカ|kka
ッサ|ssa
ッタ|tta
ッナ|nna
ンナ|n'na
ッハ|hha
ッマ|mma
ッヤ|yya
ッラ|rra
ッワ|wwa
ッガ|gga
ッザ|zza
ッダ|dda
ッバ|bba
ッパ|ppa
ッヷ|vva
ッキ|kki
ッシ|sshi
ッチ|tchi
ッニ|nni
ンニ|n'ni
ッヒ|hhi
ッミ|mmi
ッリ|rri
ッヰ|wwi
ッギ|ggi
ッジ|jji
ッヂ|ddji
ッビ|bbi
ッピ|ppi
ッヸ|vvi
ック|kku
ッス|ssu
ッツ|ttsu
ッヌ|nnu
ンヌ|n'nu
ッフ|ffu
ッム|mmu
ッユ|yyu
ッル|rru
ッグ|ggu
ッズ|zzu
ッヅ|ddzu
ッブ|bbu
ップ|ppu
ッヴ|vvu
ッケ|kke
ッセ|sse
ッテ|tte
ッネ|nne
ンネ|n'ne
ッヘ|hhe
ッメ|mme
ッレ|rre
ッヱ|wwe
ッゲ|gge
ッゼ|zze
ッデ|dde
ッベ|bbe
ッペ|ppe
ッヹ|vve
ッコ|kko
ッソ|sso
ット|tto
ッノ|nno
ンノ|n'no
ッホ|hho
ッモ|mmo
ッヨ|yyo
ッロ|rro
ッヲ|wwo
ッン|nn
ンン|n'n
ッゴ|ggo
ッゾ|zzo
ッド|ddo
ッボ|bbo
ッポ|ppo
ッヺ|vvo
ア|a
カ|ka
サ|sa
タ|ta
ナ|na
ハ|ha
マ|ma
ヤ|ya
ラ|ra
ワ|wa
ガ|ga
ザ|za
ダ|da
バ|ba
パ|pa
ヷ|va
イ|i
キ|ki
シ|shi
チ|chi
ニ|ni
ヒ|hi
ミ|mi
リ|ri
ヰ|wi
ギ|gi
ジ|ji
ヂ|dji
ビ|bi
ピ|pi
ヸ|vi
ウ|u
ク|ku
ス|su
ツ|tsu
ヌ|nu
フ|fu
ム|mu
ユ|yu
ル|ru
グ|gu
ズ|zu
ヅ|dzu
ブ|bu
プ|pu
ヴ|vu
エ|e
ケ|ke
セ|se
テ|te
ネ|ne
ヘ|he
メ|me
レ|re
ヱ|we
ゲ|ge
ゼ|ze
デ|de
ベ|be
ペ|pe
ヹ|ve
オ|o
コ|ko
ソ|so
ト|to
ノ|no
ホ|ho
モ|mo
ヨ|yo
ロ|ro
ヲ|wo
ン|n
ゴ|go
ゾ|zo
ド|do
ボ|bo
ポ|po
ヺ|vo
ッ|~tsu
